# pseudogene  | codingGene |  PMID | Abstract


PTENP1 | ESR1 | PMID: 29021233 | PTENP1 upregulation decreases PTEN gene expression in the ER-positive MCF7 and T47D human breast carcinoma cells and accelerates MCF7 tumor growth in vivo. Of note, PTENP1 transduction significantly decreases ERα (ESR1) mRNA and protein levels in MCF7 xenografts with a concomitant increase in hsa-miR-26a, a miR known to target ESR1. In the ER-negative MDA-MB-231 and C3HBA breast cancer cells upregulation of PTENP1 increases PTEN gene expression with no influence on hsa-miR-26a, ESR1 or ERα expression.
TNXA | TNXB | PMID: 26075496 | CONTEXT: The contiguous gene deletion syndrome (CAH-X) was described in a subset (7%) of congenital adrenal hyperplasia (CAH) patients with a TNXA/TNXB chimera, resulting in deletions of CYP21A2, encoding 21-hydroxylase necessary for cortisol biosynthesis, and TNXB, encoding the extracellular matrix glycoprotein tenascin-X (TNX). This TNXA/TNXB chimera is characterized by a 120-bp deletion in exon 35 and results in TNXB haploinsufficiency, disrupted TGF-β signaling, and an Ehlers Danlos syndrome phenotype. OBJECTIVE: The objective of the study was to determine the genetic status of TNXB and resulting protein defects in CAH patients with a CAH-X phenotype but not the previously described TNXA/TNXB chimera. Design, Settings, Participants, and Intervention: A total of 246 unrelated CAH patients were screened for TNXB defects.

TNXA | TNXB | PMID: 26075496 | This TNXA/TNXB chimera is characterized by a 120-bp deletion in exon 35 and results in TNXB haploinsufficiency, disrupted TGF-β signaling, and an Ehlers Danlos syndrome phenotype. OBJECTIVE: The objective of the study was to determine the genetic status of TNXB and resulting protein defects in CAH patients with a CAH-X phenotype but not the previously described TNXA/TNXB chimera. Design, Settings, Participants, and Intervention: A total of 246 unrelated CAH patients were screened for TNXB defects.

TNXA | TNXB | PMID: 26075496 | C4058W) and a clinical phenotype consistent with hypermobility-type Ehlers Danlos syndrome. Fourteen CAH probands carry previously described TNXA/TNXB chimeras, and seven unrelated patients carry the novel TNXB variant, resulting in a CAH-X prevalence of 8.5%.

TNXA | TNXB | PMID: 26075496 | 5%. This highly conserved pseudogene-derived variant in the TNX fibrinogen-like domain is predicted to be deleterious and disulfide bonded, results in reduced dermal elastin and fibrillin-1 staining and altered TGF-β1 binding, and represents a novel TNXA/TNXB chimera. Tenascin-X protein expression was normal in dermal fibroblasts, suggesting a dominant-negative effect. CONCLUSIONS: CAH-X syndrome is commonly found in CAH due to 21-hydroxylase deficiency and may result from various etiological mechanisms. DOI: 10.

PTENP1 | GC | PMID: 25968876 | In this study, we demonstrated that PTENP1 was frequently decreased in GC tissues and cell lines, which might be partly associated with DNA hypermethylation, and lower PTENP1 expression was associated with larger tumor size, more advanced stage, deeper invasion depth and lymphatic metastasis. In addition, our data suggested that PTENP1 could regulate GC cell proliferation, apoptosis, migration and invasion in vitro. Furthermore, we demonstrated that PTENP1 could modulate the PTEN protein expression.

RACGAP1P | NELL2 | PMID: 25846056 | We report on a 10-year-old-boy presenting with moderate intellectual disability (ID), impaired motor skills, hypotonia, growth delay, minor anomalies, misaligned teeth, pectus excavatum, small hands and feet, widely spaced nipples, and a 1.13 Mb de novo deletion on HSA12q12 (chr12:44,830,147-45,964,945 bp, hg19), deleting ANO6, NELL2, and DBX2 and the pseudogenes PLEKHA8P1 and RACGAP1P. We suggest DBX2 and NELL2 as disease-causing genes and their haploinsufficiency to be involved in the psychomotor delay in the patient.

RACGAP1P | DBX2 | PMID: 25846056 | We report on a 10-year-old-boy presenting with moderate intellectual disability (ID), impaired motor skills, hypotonia, growth delay, minor anomalies, misaligned teeth, pectus excavatum, small hands and feet, widely spaced nipples, and a 1.13 Mb de novo deletion on HSA12q12 (chr12:44,830,147-45,964,945 bp, hg19), deleting ANO6, NELL2, and DBX2 and the pseudogenes PLEKHA8P1 and RACGAP1P. We suggest DBX2 and NELL2 as disease-causing genes and their haploinsufficiency to be involved in the psychomotor delay in the patient.

RACGAP1P | ANO6 | PMID: 25846056 | We report on a 10-year-old-boy presenting with moderate intellectual disability (ID), impaired motor skills, hypotonia, growth delay, minor anomalies, misaligned teeth, pectus excavatum, small hands and feet, widely spaced nipples, and a 1.13 Mb de novo deletion on HSA12q12 (chr12:44,830,147-45,964,945 bp, hg19), deleting ANO6, NELL2, and DBX2 and the pseudogenes PLEKHA8P1 and RACGAP1P. We suggest DBX2 and NELL2 as disease-causing genes and their haploinsufficiency to be involved in the psychomotor delay in the patient.

PLEKHA8P1 | NELL2 | PMID: 25846056 | We report on a 10-year-old-boy presenting with moderate intellectual disability (ID), impaired motor skills, hypotonia, growth delay, minor anomalies, misaligned teeth, pectus excavatum, small hands and feet, widely spaced nipples, and a 1.13 Mb de novo deletion on HSA12q12 (chr12:44,830,147-45,964,945 bp, hg19), deleting ANO6, NELL2, and DBX2 and the pseudogenes PLEKHA8P1 and RACGAP1P. We suggest DBX2 and NELL2 as disease-causing genes and their haploinsufficiency to be involved in the psychomotor delay in the patient.

PLEKHA8P1 | DBX2 | PMID: 25846056 | We report on a 10-year-old-boy presenting with moderate intellectual disability (ID), impaired motor skills, hypotonia, growth delay, minor anomalies, misaligned teeth, pectus excavatum, small hands and feet, widely spaced nipples, and a 1.13 Mb de novo deletion on HSA12q12 (chr12:44,830,147-45,964,945 bp, hg19), deleting ANO6, NELL2, and DBX2 and the pseudogenes PLEKHA8P1 and RACGAP1P. We suggest DBX2 and NELL2 as disease-causing genes and their haploinsufficiency to be involved in the psychomotor delay in the patient.

PLEKHA8P1 | ANO6 | PMID: 25846056 | We report on a 10-year-old-boy presenting with moderate intellectual disability (ID), impaired motor skills, hypotonia, growth delay, minor anomalies, misaligned teeth, pectus excavatum, small hands and feet, widely spaced nipples, and a 1.13 Mb de novo deletion on HSA12q12 (chr12:44,830,147-45,964,945 bp, hg19), deleting ANO6, NELL2, and DBX2 and the pseudogenes PLEKHA8P1 and RACGAP1P. We suggest DBX2 and NELL2 as disease-causing genes and their haploinsufficiency to be involved in the psychomotor delay in the patient.

CYP2D7 | CYP2D6 | PMID: 25808902 | (2)Department of Evolutionary Studies of Biosystems, The Graduate University for Advanced Studies, Shonan Village, Hayama, Kanagawa, 240-0193 Japan. The human cytochrome P450 (CYP) 2D6 gene is a member of the CYP2D gene subfamily, along with the CYP2D7P and CYP2D8P pseudogenes. Although the CYP2D6 enzyme has been studied extensively because of its clinical importance, the evolution of the CYP2D subfamily has not yet been fully understood.

CYP2D8P | CYP2D6 | PMID: 25808902 | (2)Department of Evolutionary Studies of Biosystems, The Graduate University for Advanced Studies, Shonan Village, Hayama, Kanagawa, 240-0193 Japan. The human cytochrome P450 (CYP) 2D6 gene is a member of the CYP2D gene subfamily, along with the CYP2D7P and CYP2D8P pseudogenes. Although the CYP2D6 enzyme has been studied extensively because of its clinical importance, the evolution of the CYP2D subfamily has not yet been fully understood.

TDH | TRH | PMID: 25799574 | BACKGROUND: Vibrio parahaemolyticus is a recognized human enteropathogen. Thermostable direct hemolysin (TDH) and TDH-related hemolysin (TRH) as well as the type III secretion system 2 (T3SS2) are considered as major virulence factors. As tdh positive strains are not detected in coastal waters of Germany, we focused on the characterization of trh positive strains, which were isolated from mussels, seawater and patients in Germany. RESULTS: Ten trh harbouring V.

KIR3DP1 | KIR3DL2 | PMID: 25797201 | In this study we report the genotypic structure of KIRs in 267 unrelated and healthy Tunisian subjects by polymerase chain reaction-sequence-specific primer (PCR-SSP) method. All 16 KIR genes were observed in the population with different frequencies; framework genes KIR3DP1 and KIR3DL2 and the nonframework genes KIR2DL1 and KIR2DP1 were present in all individuals. A total of 26 different KIR gene profiles and 54 subgenotypes were observed in the tested population samples. Genotype 1, with a frequency of 36.

KIR2DP1 | KIR2DL1 | PMID: 25797201 | In this study we report the genotypic structure of KIRs in 267 unrelated and healthy Tunisian subjects by polymerase chain reaction-sequence-specific primer (PCR-SSP) method. All 16 KIR genes were observed in the population with different frequencies; framework genes KIR3DP1 and KIR3DL2 and the nonframework genes KIR2DL1 and KIR2DP1 were present in all individuals. A total of 26 different KIR gene profiles and 54 subgenotypes were observed in the tested population samples. Genotype 1, with a frequency of 36.

CYP4Z2P | CYP4Z1 | PMID: 25701119 | The aim of this study was to investigate the roles of the pseudogene CYP4Z2P-3'UTR and functional gene CYP4Z1-3'UTR in breast cancer angiogenesis process. The levels of CYP4Z2P- and CYP4Z1-3'UTR and miRNA of interests were measured in 22 cancerous tissues paired with non-cancerous samples by qRT-PCR. The effects of CYP4Z2P- and CYP4Z1-3'UTR were studied by overexpression and RNA interference approaches in vitro and ex vivo.

CYP4Z2P | CYP4Z1 | PMID: 25701119 | The levels of CYP4Z2P- and CYP4Z1-3'UTR and miRNA of interests were measured in 22 cancerous tissues paired with non-cancerous samples by qRT-PCR. The effects of CYP4Z2P- and CYP4Z1-3'UTR were studied by overexpression and RNA interference approaches in vitro and ex vivo. Insights of the mechanism of competitive endogenous RNAs were gained from bioinformatic analysis, luciferase assays, and western blot.

CYP4Z2P | CYP4Z1 | PMID: 25701119 | Insights of the mechanism of competitive endogenous RNAs were gained from bioinformatic analysis, luciferase assays, and western blot. The positive CYP4Z2P/CYP4Z1 interaction and negative interaction between predicted miRNAs and CYP4Z2P or CYP4Z1 were identified via qRT-PCR assay and bivariate correlation analysis. CYP4Z2P- and CYP4Z1-3'UTR share several miRNA-binding sites, including miR-211, miR-125a-3p, miR-197, miR-1226, and miR-204.

CYP4Z2P | CYP4Z1 | PMID: 25701119 | Insights of the mechanism of competitive endogenous RNAs were gained from bioinformatic analysis, luciferase assays, and western blot. The positive CYP4Z2P/CYP4Z1 interaction and negative interaction between predicted miRNAs and CYP4Z2P or CYP4Z1 were identified via qRT-PCR assay and bivariate correlation analysis. CYP4Z2P- and CYP4Z1-3'UTR share several miRNA-binding sites, including miR-211, miR-125a-3p, miR-197, miR-1226, and miR-204.

CYP4Z2P | CYP4Z1 | PMID: 25701119 | The positive CYP4Z2P/CYP4Z1 interaction and negative interaction between predicted miRNAs and CYP4Z2P or CYP4Z1 were identified via qRT-PCR assay and bivariate correlation analysis. CYP4Z2P- and CYP4Z1-3'UTR share several miRNA-binding sites, including miR-211, miR-125a-3p, miR-197, miR-1226, and miR-204. The CYP4Z2P- and CYP4Z1-3'UTRs arrest the interference caused by of these miRNAs, resulting in increased translation of CYP4Z1.

CYP4Z2P | CYP4Z1 | PMID: 25701119 | The CYP4Z2P- and CYP4Z1-3'UTRs arrest the interference caused by of these miRNAs, resulting in increased translation of CYP4Z1. Moreover, ectopic expression of the CYP4Z2P- and CYP4Z1-3'UTRs exhibit tumor angiogenesis-promoting properties in breast cancer collectively by inducing the phosphorylation of ERK1/2 and PI3K/Akt. Co-transfection with Dicer siRNA reversed the CYP4Z2P 3'UTR-mediated changes. Additionally, PI3K or ERK inhibitors reversed CYP4Z2P- and CYP4Z1-3'UTR-mediated changes in VEGF-A expression. Increased CYP4Z2P- and CYP4Z1-3'UTR expression promotes tumor angiogenesis in breast cancer partly via miRNA-dependent activation of PI3K/Akt and ERK1/2.

CYP4Z2P | CYP4Z1 | PMID: 25701119 | Co-transfection with Dicer siRNA reversed the CYP4Z2P 3'UTR-mediated changes. Additionally, PI3K or ERK inhibitors reversed CYP4Z2P- and CYP4Z1-3'UTR-mediated changes in VEGF-A expression. Increased CYP4Z2P- and CYP4Z1-3'UTR expression promotes tumor angiogenesis in breast cancer partly via miRNA-dependent activation of PI3K/Akt and ERK1/2.

CYP4Z2P | CYP4Z1 | PMID: 25701119 | Additionally, PI3K or ERK inhibitors reversed CYP4Z2P- and CYP4Z1-3'UTR-mediated changes in VEGF-A expression. Increased CYP4Z2P- and CYP4Z1-3'UTR expression promotes tumor angiogenesis in breast cancer partly via miRNA-dependent activation of PI3K/Akt and ERK1/2. The CYP4Z2P- and CYP4Z1-3'UTRs could thus be used as combinatorial miRNA inhibitors. DOI: 10.

CYP4Z2P | CYP4Z1 | PMID: 25701119 | Increased CYP4Z2P- and CYP4Z1-3'UTR expression promotes tumor angiogenesis in breast cancer partly via miRNA-dependent activation of PI3K/Akt and ERK1/2. The CYP4Z2P- and CYP4Z1-3'UTRs could thus be used as combinatorial miRNA inhibitors. DOI: 10.1007/s10549-015-3298-2 PMID: 25701119  [Indexed for MEDLINE] 728.

PTENP1 | ATG7 | PMID: 25617127 | Co-transduction of HCC cells with the SB-BV vector expressing PTENP1 elevated the levels of PTENP1 and PTEN, which suppressed the oncogenic PI3K/AKT pathway, inhibited cell proliferation, migration/invasion as well as induced autophagy and apoptosis. The overexpressed PTENP1 decoyed oncomirs miR-17, miR-19b and miR-20a, which would otherwise target PTEN, PHLPP (a negative AKT regulator) and such autophagy genes as ULK1, ATG7 and p62, indicating that PTENP1 modulated the HCC cell behavior and gene networks by miRNA regulation. Injection of the PTENP1-expressing SB-BV vector into mice bearing HCC tumors effectively mitigated the tumor growth, suppressed intratumoral cell proliferation, elicited apoptosis, autophagy and inhibited angiogenesis.

PTENP1 | ULK1 | PMID: 25617127 | Co-transduction of HCC cells with the SB-BV vector expressing PTENP1 elevated the levels of PTENP1 and PTEN, which suppressed the oncogenic PI3K/AKT pathway, inhibited cell proliferation, migration/invasion as well as induced autophagy and apoptosis. The overexpressed PTENP1 decoyed oncomirs miR-17, miR-19b and miR-20a, which would otherwise target PTEN, PHLPP (a negative AKT regulator) and such autophagy genes as ULK1, ATG7 and p62, indicating that PTENP1 modulated the HCC cell behavior and gene networks by miRNA regulation. Injection of the PTENP1-expressing SB-BV vector into mice bearing HCC tumors effectively mitigated the tumor growth, suppressed intratumoral cell proliferation, elicited apoptosis, autophagy and inhibited angiogenesis.

HSP90AA4P | DNAJB4 | PMID: 25541910 | The experimental data provide a platform for researchers to compare macromolecules' relationships in NCI-60 cell lines. Breast cancer associated miRNAs gathered from literature and analyzed by employing this suite, significantly correlated HSP genes and pseudogenes in the breast cancer are determined as; HSPA13, HSP90AB1, TRAP1, HSPB1, DNAJB4, HSPD1 and HSP90AA4P, HSPB1P1, DNAJC8P1, HSPD1P9 respectively. HSPs involved in breast cancer are regulated by several miRNAs and miRNA regulators from CellMiner data found as hsa-miR-17, hsa-miR-22, hsa-miR-93, hsa-miR-106a, hsa-miR-125b, hsa-miR-130a, and hsamiR- 141.

HSP90AA4P | HSPD1 | PMID: 25541910 | The experimental data provide a platform for researchers to compare macromolecules' relationships in NCI-60 cell lines. Breast cancer associated miRNAs gathered from literature and analyzed by employing this suite, significantly correlated HSP genes and pseudogenes in the breast cancer are determined as; HSPA13, HSP90AB1, TRAP1, HSPB1, DNAJB4, HSPD1 and HSP90AA4P, HSPB1P1, DNAJC8P1, HSPD1P9 respectively. HSPs involved in breast cancer are regulated by several miRNAs and miRNA regulators from CellMiner data found as hsa-miR-17, hsa-miR-22, hsa-miR-93, hsa-miR-106a, hsa-miR-125b, hsa-miR-130a, and hsamiR- 141.

HSP90AA4P | HSP90AB1 | PMID: 25541910 | The experimental data provide a platform for researchers to compare macromolecules' relationships in NCI-60 cell lines. Breast cancer associated miRNAs gathered from literature and analyzed by employing this suite, significantly correlated HSP genes and pseudogenes in the breast cancer are determined as; HSPA13, HSP90AB1, TRAP1, HSPB1, DNAJB4, HSPD1 and HSP90AA4P, HSPB1P1, DNAJC8P1, HSPD1P9 respectively. HSPs involved in breast cancer are regulated by several miRNAs and miRNA regulators from CellMiner data found as hsa-miR-17, hsa-miR-22, hsa-miR-93, hsa-miR-106a, hsa-miR-125b, hsa-miR-130a, and hsamiR- 141.

HSP90AA4P | HSPB1 | PMID: 25541910 | The experimental data provide a platform for researchers to compare macromolecules' relationships in NCI-60 cell lines. Breast cancer associated miRNAs gathered from literature and analyzed by employing this suite, significantly correlated HSP genes and pseudogenes in the breast cancer are determined as; HSPA13, HSP90AB1, TRAP1, HSPB1, DNAJB4, HSPD1 and HSP90AA4P, HSPB1P1, DNAJC8P1, HSPD1P9 respectively. HSPs involved in breast cancer are regulated by several miRNAs and miRNA regulators from CellMiner data found as hsa-miR-17, hsa-miR-22, hsa-miR-93, hsa-miR-106a, hsa-miR-125b, hsa-miR-130a, and hsamiR- 141.

HSP90AA4P | TRAP1 | PMID: 25541910 | The experimental data provide a platform for researchers to compare macromolecules' relationships in NCI-60 cell lines. Breast cancer associated miRNAs gathered from literature and analyzed by employing this suite, significantly correlated HSP genes and pseudogenes in the breast cancer are determined as; HSPA13, HSP90AB1, TRAP1, HSPB1, DNAJB4, HSPD1 and HSP90AA4P, HSPB1P1, DNAJC8P1, HSPD1P9 respectively. HSPs involved in breast cancer are regulated by several miRNAs and miRNA regulators from CellMiner data found as hsa-miR-17, hsa-miR-22, hsa-miR-93, hsa-miR-106a, hsa-miR-125b, hsa-miR-130a, and hsamiR- 141.

HSP90AA4P | HSPA13 | PMID: 25541910 | The experimental data provide a platform for researchers to compare macromolecules' relationships in NCI-60 cell lines. Breast cancer associated miRNAs gathered from literature and analyzed by employing this suite, significantly correlated HSP genes and pseudogenes in the breast cancer are determined as; HSPA13, HSP90AB1, TRAP1, HSPB1, DNAJB4, HSPD1 and HSP90AA4P, HSPB1P1, DNAJC8P1, HSPD1P9 respectively. HSPs involved in breast cancer are regulated by several miRNAs and miRNA regulators from CellMiner data found as hsa-miR-17, hsa-miR-22, hsa-miR-93, hsa-miR-106a, hsa-miR-125b, hsa-miR-130a, and hsamiR- 141.

NATP | NAT2 | PMID: 25432241 | BACKGROUND: The mouse has three arylamine N-acetyltransferase genes, (MOUSE)Nat1, (MOUSE)Nat2 and (MOUSE)Nat3. These are believed to correspond to (HUMAN)NAT1, (HUMAN)NAT2 and NATP in humans. (MOUSE)Nat3 encodes an enzyme with poor activity and human NATP is a pseudogene.

NATP | NAT1 | PMID: 25432241 | These are believed to correspond to (HUMAN)NAT1, (HUMAN)NAT2 and NATP in humans. (MOUSE)Nat3 encodes an enzyme with poor activity and human NATP is a pseudogene. (MOUSE)Nat2 is orthologous to (HUMAN)NAT1 and their corresponding proteins are functionally similar, but the relationship between (MOUSE)Nat1 and (HUMAN)NAT2 is less clear-cut. METHODS: To determine whether the (MOUSE)NAT1 and (HUMAN)NAT2 enzymes are functionally equivalent, we expressed and purified (MOUSE)NAT1*1 and analysed its substrate specificity using a panel of arylamines and hydrazines.

TAS2R6P | TAS2R1 | PMID: 25216916 | RESULTS: In this study, we analyzed patterns of variation at human TAS2R pseudogenes in both African and non-African populations, and compared them to those observable in nonhuman primates and archaic human species. Our results showed a similar worldwide distribution of allelic variation for most of the pseudogenes, with the exception of the TAS2R6P and TAS2R18P loci, both of which presented an unexpected higher frequency of derived alleles outside Africa. At the TAS2R6P locus, two SNPs were found in strong linkage disequilibrium (r2�?�?.

KIR3DP1 | KIR2DL1 | PMID: 25205074 | To our knowledge, this is the first report on the KIR gene polymorphism in the Bengalis of West Bengal, India. Herein, we have studied the distribution of 14 KIR genes (KIR3DL1-3DL3, KIR2DL1-2DL5, KIR2DS1-2DS5 AND KIR3DS1) and two pseudogenes (KIR3DP1 and 2DP1) in the Bengalis. Apart from the framework genes (KIR2DL4, 3DL2, 3DL3 and 3DP1), which are present in all the individuals, the gene frequencies of other KIR genes varied between 0.

CYP21A1P | CYP21A2 | PMID: 27896104 | Approximately 90% of the classic forms of CAH, salt-wasting and simple virilizing, are due to mutations in the CYP21A2 gene. These include single nucleotide changes, insertions, deletions, as well as chimeric genes involving CYP21A2 and its highly homologous pseudogene CYP21A1P. A novel loci-specific PCR approach was developed to individually amplify the CYP21A2 gene, the nearby CYP21A1P pseudogene, as well as any 30 kb deletion and gene conversion mutations, if present, as single separate amplicons.

CYP21A1P | CYP21A2 | PMID: 27896104 | These include single nucleotide changes, insertions, deletions, as well as chimeric genes involving CYP21A2 and its highly homologous pseudogene CYP21A1P. A novel loci-specific PCR approach was developed to individually amplify the CYP21A2 gene, the nearby CYP21A1P pseudogene, as well as any 30 kb deletion and gene conversion mutations, if present, as single separate amplicons. Using commercially available CAH positive specimens and 14 families with an affected CAH proband, the single long-range amplicon approach demonstrated higher specificity as compared to previously published methods. DOI: 10.

KIR3DP1 | KIR2DL4 | PMID: 25033772 | Epub 2014 Jul 18. Two new cases of KIR3DP1, KIR2DL4-negative genotypes, one of which is also lacking KIR3DL2. Niepiekło-Miniewska W(1), Zuk N, Dubis J, Kurpisz M, Senitzer D, Havrylyuk A, Grendziak R, Witkiewicz W, Chopyak V, Kuśnierczyk P. Author information: (1)Laboratory of Immunogenetics and Tissue Immunology, Department of Clinical Immunology, Ludwik Hirszfeld Institute of Immunology and Experimental Therapy, Polish Academy of Sciences, Rudolfa Weigla 12, 53-114, Wrocław, Poland. The killer immunoglobulin-like receptor (KIR) genes KIR2DL4, KIR3DL2, and KIR3DP1 are present in virtually all humans. KIR2DL4 encodes a receptor present on uterine and decidual natural killer (NK) cells and some peripheral blood NK cells.

KIR3DP1 | KIR2DL4 | PMID: 25033772 | Author information: (1)Laboratory of Immunogenetics and Tissue Immunology, Department of Clinical Immunology, Ludwik Hirszfeld Institute of Immunology and Experimental Therapy, Polish Academy of Sciences, Rudolfa Weigla 12, 53-114, Wrocław, Poland. The killer immunoglobulin-like receptor (KIR) genes KIR2DL4, KIR3DL2, and KIR3DP1 are present in virtually all humans. KIR2DL4 encodes a receptor present on uterine and decidual natural killer (NK) cells and some peripheral blood NK cells.

KIR3DP1 | KIR3DL2 | PMID: 25033772 | Author information: (1)Laboratory of Immunogenetics and Tissue Immunology, Department of Clinical Immunology, Ludwik Hirszfeld Institute of Immunology and Experimental Therapy, Polish Academy of Sciences, Rudolfa Weigla 12, 53-114, Wrocław, Poland. The killer immunoglobulin-like receptor (KIR) genes KIR2DL4, KIR3DL2, and KIR3DP1 are present in virtually all humans. KIR2DL4 encodes a receptor present on uterine and decidual natural killer (NK) cells and some peripheral blood NK cells.

KIR3DP1 | HLA-A | PMID: 25033772 | KIR3DL2 binds HLA-A*03 and HLA-A*11 as well as HLA-B*27 dimers, and microbial CpG DNA. KIR3DP1 is a pseudogene. During our immunogenetic studies we found two individuals, one from Lower Silesia district in Poland, and another from Western Ukraine, who were reproducibly negative for KIR2DL4 and KIR3DP1 genes, using three different PCR systems.

KIR3DP1 | HLA-B | PMID: 25033772 | KIR3DL2 binds HLA-A*03 and HLA-A*11 as well as HLA-B*27 dimers, and microbial CpG DNA. KIR3DP1 is a pseudogene. During our immunogenetic studies we found two individuals, one from Lower Silesia district in Poland, and another from Western Ukraine, who were reproducibly negative for KIR2DL4 and KIR3DP1 genes, using three different PCR systems.

KIR3DP1 | KIR2DL4 | PMID: 25033772 | KIR3DP1 is a pseudogene. During our immunogenetic studies we found two individuals, one from Lower Silesia district in Poland, and another from Western Ukraine, who were reproducibly negative for KIR2DL4 and KIR3DP1 genes, using three different PCR systems. Both individuals displayed very similar genotypes, possessing only KIR3DL3, KIR2DL3, KIR2DP1, KIR2DS1, and probably a rare variant of KIR2DL1.

KIR2DP1 | KIR3DL3 | PMID: 25033772 | During our immunogenetic studies we found two individuals, one from Lower Silesia district in Poland, and another from Western Ukraine, who were reproducibly negative for KIR2DL4 and KIR3DP1 genes, using three different PCR systems. Both individuals displayed very similar genotypes, possessing only KIR3DL3, KIR2DL3, KIR2DP1, KIR2DS1, and probably a rare variant of KIR2DL1. The Pole had also KIR3DL2, which the Ukrainian was apparently lacking.

KIR2DP1 | KIR2DL3 | PMID: 25033772 | During our immunogenetic studies we found two individuals, one from Lower Silesia district in Poland, and another from Western Ukraine, who were reproducibly negative for KIR2DL4 and KIR3DP1 genes, using three different PCR systems. Both individuals displayed very similar genotypes, possessing only KIR3DL3, KIR2DL3, KIR2DP1, KIR2DS1, and probably a rare variant of KIR2DL1. The Pole had also KIR3DL2, which the Ukrainian was apparently lacking.

KIR2DP1 | KIR2DL1 | PMID: 25033772 | During our immunogenetic studies we found two individuals, one from Lower Silesia district in Poland, and another from Western Ukraine, who were reproducibly negative for KIR2DL4 and KIR3DP1 genes, using three different PCR systems. Both individuals displayed very similar genotypes, possessing only KIR3DL3, KIR2DL3, KIR2DP1, KIR2DS1, and probably a rare variant of KIR2DL1. The Pole had also KIR3DL2, which the Ukrainian was apparently lacking.

CYP21A1P | CYP21A2 | PMID: 24823785 | 1007/978-1-4939-0835-6_19. Mutational analysis of CYP21A2 gene and CYP21A1P pseudogene: long-range PCR on genomic DNA. Lee HH(1). Author information: (1)Department of Laboratory Medicine, China Medical University Hospital, 2 Yuh-Der Road, Taichung, 404, Taiwan, leehsienhsiung@gmail.com. CYP21A2, the gene that codes for P450c21 (Steroid 21-hydroxylase), has a duplicated pseudogene called CYP21A1P.

CYP21A1P | CYP21A2 | PMID: 24823785 | Conversely, portions of CYP21A2 sequence can be transferred to CYP21A1P, modifying the haplotype. Here, we describe a well-established protocol that can be used to unambiguously study the mutational profile of CYP21A2 gene and CYP21A1P pseudogene. The protocol is based on long-range PCR amplification with allele-specific primers, followed by DNA sequencing of smaller fragments. DOI: 10.

CYP21A1P | CYP21A2 | PMID: 24799024 | Congenital adrenal hyperplasia (CAH) is an autosomal recessive disorder mainly caused by defects in the 21-hydroxylase gene (CYP21A2), coding for the enzyme 21-hydroxylase (21-OH). About 95% of the mutations arise from gene conversion between CYP21A2 and the inactive pseudogene CYP21A1P: only 5% are novel CYP21A2 mutations, in which functional analysis of mutant enzymes has been helpful to correlate genotype-phenotype. In the present study, we describe 3 novel point mutations (p.

TRPC2 | ZP3 | PMID: 24756702 | The major demonstrated functions of TRPC2 are regulation of pheromone-evoked signaling in the rodent VNO, regulation of erythropoietin-stimulated calcium influx in murine erythroid cells, and ZP3-evoked calcium influx into sperm. Depletion of TRPC2 in knockout mice resulted in changes in behavior including altered sex discrimination and lack of male-male aggression. The red cells of TRPC2 knockout mice showed increased mean corpuscular volume, mean corpuscular hemoglobin, and hematocrit and reduced mean corpuscular hemoglobin concentration.

DUSP5P1 | BCL2L11 | PMID: 24651368 | Knock-down of DUSP5 in HL cells resulted in down-regulation of BCL2L11. Thus, the DUSP5/DUSP5P1 system could be responsible for regulation of BCL2L11 leading to inhibition of apoptosis in these tumor cells. DOI: 10.1371/journal.

DUSP5P1 | BCL2L1 | PMID: 24651368 | Knock-down of DUSP5 in HL cells resulted in down-regulation of BCL2L11. Thus, the DUSP5/DUSP5P1 system could be responsible for regulation of BCL2L11 leading to inhibition of apoptosis in these tumor cells. DOI: 10.1371/journal.

DEFT1P | DEFA1 | PMID: 24557891 | β-defensins are ancestors of both α and θ-defensins. Human has two copies of DEFA1 and DEFT1P, and two extra DEFA3 and DEFA10P genes compared with gorilla. As different primates inhabit in quite different ecological niches, the production of species-specific α and θ-defensins and these highly evolved θ-defensins in old world monkeys would presumably allow them to better respond to the specific microbial challenges that they face. DOI: 10.

DEFT1P | DEFA3 | PMID: 24557891 | β-defensins are ancestors of both α and θ-defensins. Human has two copies of DEFA1 and DEFT1P, and two extra DEFA3 and DEFA10P genes compared with gorilla. As different primates inhabit in quite different ecological niches, the production of species-specific α and θ-defensins and these highly evolved θ-defensins in old world monkeys would presumably allow them to better respond to the specific microbial challenges that they face. DOI: 10.

CMAHP | ACOT13 | PMID: 24509779 | As expected, there were associations with known RD risk genes KIAA0319 and DCDC2. In addition, we implicated markers in or near other DYX2 genes, including TDP2, ACOT13, C6orf62, FAM65B, and CMAHP. However, the LD structure of the locus suggests that associations within TDP2, ACOT13, and C6orf62 are capturing a previously reported risk variant in KIAA0319.

CMAHP | C6orf62 | PMID: 24509779 | As expected, there were associations with known RD risk genes KIAA0319 and DCDC2. In addition, we implicated markers in or near other DYX2 genes, including TDP2, ACOT13, C6orf62, FAM65B, and CMAHP. However, the LD structure of the locus suggests that associations within TDP2, ACOT13, and C6orf62 are capturing a previously reported risk variant in KIAA0319.

