#pseudogeneID | pseudogene  | codingGeneID | codingGene | PMID | Role
ENSG00000237984 | PTENP1 | ENSG00000171862 | PTEN | PMID: 29021233 | microRNA; miR
ENSG00000250040 | RAF1P1 | ENSG00000151552 | QDPR | PMID: 8096345 | other
ENSG00000206341 | HLA-H | ENSG00000206503 | HLA-A | PMID: 1362179 | other
ENSG00000204622 | HLA-J | ENSG00000204632 | HLA-G | PMID: 1602142 | other
ENSG00000204622 | HLA-J | ENSG00000206503 | HLA-A | PMID: 1602142 | other
ENSG00000204622 | HLA-J | ENSG00000234745 | HLA-B | PMID: 1602142 | other
ENSG00000206341 | HLA-H | ENSG00000206503 | HLA-A | PMID: 1602142 | other
ENSG00000277975 | CSTP2 | ENSG00000170367 | CST5 | PMID: 1334620 | other
ENSG00000206341 | HLA-H | ENSG00000234745 | HLA-B | PMID: 2294403 | other
ENSG00000162840 | MT2P1 | ENSG00000257017 | HP | PMID: 2873080 | other
ENSG00000162840 | MT2P1 | ENSG00000145321 | * GC risk | PMID: 2873080 | other
